name,category,tags,desc
Wifi Hotspot Locations,Media,"geographic, location, map, cartography, services, ...",Location of wifi hotspots in the city with basic descriptive information.
311 Service Requests from 2010 to Present,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present.
Map of Parks,Facilities and Structures,"park, parks, nature, recreation, location, map, ...",GIS Map of New York City Department of Parks & Recreation parks.
Electric Consumption by ZIP Code - 2010,Environmental Sustainability,"electricity, energy, environment, planning, power, ...","2010 electricity consumption in kWh and GJ, by ZIP code, building type, and utility company."
SAT (College Board) 2010 School Level Results,Education,"","New York City school level College Board SAT results for the graduating seniors of 2010.  Records contain 2010 College-bound seniors mean SAT scores. 

Records with 5 or fewer students are suppressed (marked ‘s’). 

College-bound seniors are those students that complete the SAT Questionnaire when they register for the SAT and identify that they will graduate from high school in a specific year. For example, the 2010 college-bound seniors are those students that self-reported they would graduate in 2010. Students are not required to complete the SAT Questionnaire in order to register for the SAT. Students who do not indicate which year they will graduate from high school will not be included in any college-bound senior report.  

Students are linked to schools by identifying which school they attend when registering for a College Board exam. A student is only included in a school’s report if he/she self-reports being enrolled at that school. 

Data collected and processed by the College Board."
Projects in Construction Map,Facilities and Structures,"school, construction, authority, sca, capital, ...",New school projects (Capacity) and Capital Improvement Projects (CIP) currently under Construction.
MTA Data,Transportation,"traffic, vehicles, route, schedules","Information pertaining to MTA (Metropolitan Transportation Authority of the State of New York) subways, buses, commuter rail, bridges, and tunnels"
Filming Locations (Scenes from the City),Business and Economic,"film, movie, scene, scenes from the city",List of filming locations mentioned in the book Scenes from the City
Parking Regulations (Locations File),Transportation,"parking, regulation, traffic, sign, signage, ...","The Parking Regulations are drawn from DOT’s traffic sign database, STATUS, which is used by DOT in managing its inventory of over one million traffic signs in New York City. The database keeps track of the description, location and installation dates for DOT traffic signs. The Locations and Signs files need to be used in combination. The data in files can be linked, to find an applicable regulation, using the 'StatusOrderNumber' value. This process is automated at our  DOT Parking Regulation website: http://a841-dotvweb01.nyc.gov/ParkingRegs/ViewController/LocationValidation.aspx"
NYC Parking Facilities Map,Transportation,"parking facilities, car, automobile",A list of all parking facilities in New York City
Demographic Statistics By Zip Code,Statistics,"boundary, district, community, demography, ...",Demographic statistics broken down by zip code
School Attendance and Enrollment Statistics by District (2010-11),Education,"doe, education, schools, attendance, enrollment, ...",DOE attendance and enrollment statistics broken down by school district
Quality Of Life Indicators,Statistics,"life, quality, statistic, community",Statistics on NYC quality of life
After-School Programs,Community Service,"education, school, services, geographic, location, ...",Location of all After School Programs with basic descriptive information on the programs.
NYC Public High School Program Data,Education,"doe, programs, nyc, data",Data on programs in NYC High Schools
NYC Health and Hospitals Corporation Facilities,Health,"facility, facilities, health, patient, healthcare, ...","This is a list of the 11 acute care hospitals, four skilled nursing facilities, six large diagnostic and treatment centers and community-based clinics that make up the New York City Health and Hospitals Corporation, NYC's public hospital system. HHC is a $6.7 billion integrated healthcare delivery system which serves 1.3 million New Yorkers every year and more than 450,000 are uninsured. It provides medical, mental health and substance abuse services.
Update Frequency: As needed"
Museums and galleries,Cultural Affairs,"new york, nycgo, new york & company, ...",NYC and Co. museums and galleries
DSNY: Collection Tonnages,Environmental Sustainability,"sanitation, dsny, refuse, recycle, recycling, ...","For each Community District, the tons of Refuse, Paper Recycling and Metal, Glass & Plastic Recycling that were collected by the Department of Sanitation (DSNY) during the calendar month."
Federal Stimulus Data,Government,"operations, ops, federal stimulus, stimulus, ...",Data on the usage of stimulus/recovery funds provided through the American Recovery and Reinvestment Act of 2009 (ARRA)
Zip code breakdowns,Statistics,"boundary, district, community, demography, ...","Demographic statistics broken down by zip code
Update Schedule: As required"
Parking Tickets,Transportation,"department of finance, finance, dof, money, ...","A listing of all NYC parking tickets sorted by summons number, license plate, issue date, violation, fine amount, and other categories"
2011-2012 NYC Family Guides,Education,"doe, famil guide, program, language, url, info, ...","2011-2012 NYC Family Guides

Update schedule: As required"
Map of Bathrooms,Facilities and Structures,"map, location, cartography, site, bath, bathroom, ...",GIS Map of Bathrooms in New York City Department of Parks & Recreation properties.
Privately Owned Public Spaces,Property,"zoning, database, public, space, zone, incentive, ...",Database with detailed information about all public spaces in all boroughs that was created as a result of the City's incentive zoning program
2009 Popular Birth Names (Male),Health,"popular names, name, health, males, boys",Popular NYC male birth names
DYCD Literacy,Education,"geographic, location, map, cartography, basemap, ...",DYCD Literacy
NYC Parking Facilities,Transportation,"parking facilities, car, automobile",A list of all parking facilities in New York City
Green Market Locations,Environmental Sustainability,"geographic, location, map, cartography, business, ...",Location of green markets in the city with basic descriptive information.
DOT Parking Regulation Signs,Transportation,"parking, sign, regulation, car, automobile, ...","The Parking Regulations are drawn from DOT’s traffic sign database, STATUS, which is used by DOT in managing its inventory of over one million traffic signs in New York City. The database keeps track of the description, location and installation dates for DOT traffic signs. The Locations and Signs files need to be used in combination. The data in files can be linked, to find an applicable regulation, using the 'StatusOrderNumber' value. This process is automated at our  DOT Parking Regulation website: http://a841-dotvweb01.nyc.gov/ParkingRegs/ViewController/LocationValidation.aspx"
NYC Street Activities Calendar,Events,"block parties, street festivals, events","A list of Street Activity Permit Applications. These include applications for Block Parties and Street Festivals. The City of New York makes no representation as to its accuracy or the suitability of this information for any purpose. Because this information is subject to change, the City will periodically update and modify it to the extent it is reasonable and practical. Users should be advised that much of this information is based on permit applications, not approved permits especially when looking at permits for advanced dates.

The City disclaims any liability for errors that may be contained herein and shall not be responsible for any damages consequential or actual, arising out of or in connection with the use of this information. The City makes no warranties, express or implied, including, but not limited to, implied warranties of merchantability and fitness for a particular purpose as to the quality, content, accuracy, or completeness of the information, text graphics, links and other items contained in this dataset."
Graffiti Locations,Other,"sanitation, scout, graffiti, complaint, request, ...","Addresses, current status, and coordinates of requests to clean graffiti (other than bridges or highways) received from the public and SCOUT in the last 12 months."
Map View,Business and Economic,"laundry, license, laundromat, clothing, washing, ...",A list of laundry facilities that have a current DCA license as of the run date.
DYCD after-school programs,Education,"education, services, youth, community, development, ...","After-school programs in New York City, organized by various categories and for various audiences.
Update Frequency: Annually"
Building Perimeter Outlines,Facilities and Structures,"geographic, location, map, cartography, property, ...",Polygon representing the perimeter outline of the buildings.
